title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
Data Engineer ( Telecom Domain ),Data Science,,Bengaluru,3-8 Yrs,Full-time,,"SQL,Data Science,SPARQL,NoSQL,Data Engineering,MongoDB,Python,Data",naukri
Data Solutions Engineer,Data Science,,"Chennai, Bengaluru, Hyderabad",3-5 Yrs,Full-time,,"Python,data management,natural language processing,data processing,business analysis,data engineering,database marketing,sql",naukri
Technical Lead-Data Engg & Mgmt,Data Science,,Pune,5-8 Yrs,Full-time,,"Computer science,Business Analyst,Data modeling,Data processing,Technical Lead,Data quality,Troubleshooting,Information technology",naukri
Lead PowerBI and Data Modelling Engineer,Data Science,,Pune,9-12 Yrs,Full-time,,"Mining,Data analysis,Front end,qlik sense,Data management,Analytical,MySQL,power bi",naukri
Big Data Engineers / Leads,Data Science,,Bengaluru,4-10 Yrs,Full-time,,"Data management,Analytical,Agile,Scheduling,Data quality,SQL,Python,Data architecture",naukri
"Associate, Data Management & Quantitative Analysis II",Data Science,,Pune,5-8 Yrs,Full-time,,"Front office,Data management,Bloomberg,Workflow,Data quality,Asset management,Operations,Financial services",naukri
Data Plane Development Engineer (DPDK),Data Science,,Bengaluru,8-12 Yrs,Full-time,,"Data Plane Development,Embedded C,Openwrt,C,Multithreading,Linux,Networking,Data Structures",naukri
Lead Data Quality Engineer,Data Science,,Gurgaon,8-9 Yrs,Full-time,,"Automation,Data analysis,Manager Quality Assurance,Data management,Analytical,Consulting,Data quality,Risk management",naukri
Lead Data / ML Engineer-1,Data Science,,Pune,4-8 Yrs,Full-time,,"remediation,Front end,Information security,Analytical,Relationship building,Project management,data governance,Business strategy",naukri
Lead Data Engineer,Data Science,,Pune,5-9 Yrs,Full-time,,"Unix,Object oriented design,Linux,Information security,MySQL,Shell scripting,Agile,Data structures",naukri
"Lead - Data Engineer - Hadoop, HDFS, Spark, Python;",Data Science,,Pune,10-15 Yrs,Full-time,,"Front end,Data management,Information security,Consulting,Agile,Open source,Risk management,Monitoring",naukri
Data Science DevOps Engineer - AI product,Data Science,,Bengaluru,6-11 Yrs,Full-time,,"DevOps,python,demand forecasting,java,git,data devops,data science,terraform",naukri
Technical Lead-Data Engg & Mgmt,Data Science,,Hyderabad,5-8 Yrs,Full-time,,"Technical Lead,Management,Technical,Engineering,Technical leadership",naukri
"Associate, Data Management & Quantitative Analysis I",Data Science,,Pune,3-5 Yrs,Full-time,,"Front office,Data management,Bloomberg,Workflow,Data quality,Asset management,Operations,Financial services",naukri
Data Science Intern,Data Science,,Chennai,,Full-time,,,naukri
Data Science Intern,Data Science,,"Delhi, Kanpur, Supaul, Patna",,Full-time,,,naukri
Intern - Data Annotation,Data Science,,Mumbai (All Areas),0-2 Yrs,Full-time,,"Advanced Excel,MIS Reporting,MIS,VLOOKUP,Formulas,Excel,Data Annotation,Reporting",naukri
Data Science & Machine Learning,Data Science,,Noida,0-1 Yrs,Full-time,,"Computer science,Performance tuning,Version control,Data modeling,Debugging,Machine learning,Data structures,Troubleshooting",naukri
Data Science Intern (Internship),Data Science,,Pune,,Full-time,,,naukri
Senior Data Engineer,Data Science,,Bengaluru,7-9 Yrs,Full-time,,"Data management,Coding,Analytical,SSRS,Data quality,Stored procedures,Continuous improvement,Information technology",naukri
Senior Data Engineer,Data Science,,Bengaluru,4-8 Yrs,Full-time,,"Performance tuning,Automation,Data analysis,Data modeling,Database design,Analog,Data structures,Healthcare",naukri
Senior Platform Data Engineer,Data Science,,Bengaluru,6-8 Yrs,Full-time,,"Automation,Compliance,Product innovation,Consulting,Machine learning,Cloud,User support,Continuous improvement",naukri
Senior Data Engineer,Data Science,,Bengaluru,4-8 Yrs,Full-time,,"Data modeling,Business analysis,MySQL,Agile,Informatica,Oracle,Analytics,SQL",naukri
Senior Data Engineer AWS,Data Science,25500.0,"Chennai, Bangalore Rural, Hyderabad",5-9 Yrs,Full-time,,"dynamoDB,SQL,AWS,Lambda,Python,RDS,Aws Lake Formation,Glue",naukri
Data Engineer/ Data Analyst,Data Science,,"Hybrid - Chennai, Hyderabad",2-7 Yrs,Full-time,,"Data Engineering,sql,pharma,Payer,python,Claims,CRM data,pyspark",naukri
Senior Data Engineer,Data Science,,Hybrid - Bengaluru,4-8 Yrs,Full-time,,"Pyspark,BigQuery,Scala,Kafka,SQL,Airflow,Hive,Dataproc",naukri
Hiring Senior Data Engineer,Data Science,60000.0,Bengaluru,6-11 Yrs,Full-time,,"python,Data Engineering,sql,Snowflake,Kubernetes,data analytics,Power BI,Data Wrangling",naukri
"Senior Data Engineer- AWS , SQL, Python",Data Science,,Bengaluru,8-12 Yrs,Full-time,,"SQL,S3,Glue,SQL Server,ETL,AWS,Lambda,Athena",naukri
Data & Analytics Senior Data Engineer,Data Science,,Bengaluru,3-6 Yrs,Full-time,,"Computer science,big data analytics,Analytical,Machine learning,Healthcare,Informatica,Data warehousing,Analytics",naukri
Senior Data Engineer(AWS)-L5 client-Immediate joiner-6+Yrs-Bangalore,Data Science,,Hybrid - Bengaluru,6-10 Yrs,Full-time,,"Pyspark,aws,Python,SQL,AWS Data emgineer,Data,Senior",naukri
Sr Data Product Engineer,Data Science,,Bengaluru,3-6 Yrs,Full-time,,"Fabrication,C++,Data analysis,Data modeling,Consulting,Business intelligence,Data warehousing,SQL",naukri
Senior Data Engineer,Data Science,,Bengaluru,3-7 Yrs,Full-time,,"metadata,Data modeling,Consulting,data governance,Healthcare,business rules,Business strategy,Analytics",naukri
Sr. Data Engineer,Data Science,,Bengaluru,3-10 Yrs,Full-time,,"SAN,GCP,spark,Diversity and Inclusion,Cloud,Manager Technology,Deployment,Data analytics",naukri
Senior Azure Data Engineer,Data Science,,"Chennai, Pune, Delhi, Mumbai, Bengaluru, Hyderabad, Kolkata",6-10 Yrs,Full-time,,"azure databricks,python,sql queries,data analysis,performance tuning,microsoft azure,azure data factory,transformation",naukri
Senior Data Engineer,Data Science,,Bengaluru,4-8 Yrs,Full-time,,"Data validation,GIT,spark,Analytical,Equity,Data quality,Data Analyst,Data warehousing",naukri
Senior Data Engineer,Data Science,,Bengaluru,7-10 Yrs,Full-time,,"Performance tuning,SAS,Data management,Customer service,Teradata,JIRA,Information technology,Analytics",naukri
Senior Data Engineer,Data Science,,Bengaluru,7-12 Yrs,Full-time,,"Automation,Coding,Shell scripting,System integration,Agile,Customer service,Information technology,Analytics",naukri
Senior Data Engineer,Data Science,,"Bengaluru, Gurgaon",2-6 Yrs,Full-time,,"Engineering services,Project development,Resource utilization,data governance,Data processing,Performance optimization,big data architect,Data warehousing",naukri
Senior Software Engineer - Cloud Data Pipeline,Data Science,,Bengaluru,4-10 Yrs,Full-time,,"Automation,Software design,Design review,GCP,Debugging,Monitoring,Analytics,SQL",naukri
Sr. Data Engineer,Data Science,25500.0,"Pune, Bengaluru, Noida",6-10 Yrs,Full-time,,"Hive,SCALA,Hadoop,Big Data,Data Bricks,Datawarehousing,SQL,Python",naukri
Senior Data Engineer - AWS/ SQL/ Python,Data Science,,Hybrid - Bengaluru,8-12 Yrs,Full-time,,"AWS CloudFormation,ETL,SQL,Python,S3,postgresql,hybrid cloud,Glue",naukri
Senior Data Engineer,Data Science,,Bengaluru,5-7 Yrs,Full-time,,"Data Engineering,Data management,Data Engineer,Senior,Engineering,Management,Data",naukri
"Senior Data Engineer (Python , SQL, RTCDP)",Data Science,,Bengaluru,1-6 Yrs,Full-time,,"Performance tuning,Data management,Data modeling,Debugging,Javascript,Agile,Adobe,Analytics",naukri
"Element Technologies - Sr Data Engineer - Bangalore, Pune, Chennai,",Data Science,,"Hybrid - Chennai, Pune, Bengaluru",5-10 Yrs,Full-time,,"Pyspark,Azure,Data Engineering,Python,CI/CD,Cd,SR,Data",naukri
Senior Data Engineer,Data Science,,"Chennai, Pune, Delhi, Mumbai, Bengaluru, Hyderabad, Kolkata",3-6 Yrs,Full-time,,"IT services,Solution design,orchestration,SSAS,Analytical,Schema,power bi,Analytics",naukri
Senior Data Engineer,Data Science,14400.0,Bengaluru,3-7 Yrs,Full-time,,"Pyspark,Databricks,Python,Senior,Data Engineering,Data Bricks,Data",naukri
Data Engineer/Analyst,Data Science,,Remote,1-3 Yrs,Full-time,,"python,modeling,data analysis,data analytics,scikit-learn,linear regression,numpy,machine learning",naukri
Sr Data Engineer - Azure,Data Science,,Gurgaon,5-7 Yrs,Full-time,,"Document review,Technical design,MySQL,Consulting,HR,Continuous improvement,Python,Recruitment",naukri
Senior Data Ops Engineer,Data Science,,"Panchkula, Bengaluru, Gurgaon",5-7 Yrs,Full-time,,"Data Ops,Airflow,DevOps,Git,Terraform,DQA,dbt,AWS",naukri
Senior Data Engineer,Data Science,,Bengaluru,6-8 Yrs,Full-time,,"Agile,Data quality,Scrum,Business strategy,cisco,Reporting tools,SQL,Python",naukri
Engineer/Data Analyst,Data Science,,Nagpur,5-8 Yrs,Full-time,,"Data Analyst,Engineering,Data,Data analysis",naukri
Data Engineer,Data Science,,"Pune, Bengaluru, Gurgaon",5-8 Yrs,Full-time,,"Supply chain,Data modeling,Healthcare,Data processing,Business strategy,Fund raising,Analytics,Financial services",naukri
Data Engineer: Data Integration,Data Science,,Pune,2-5 Yrs,Full-time,,"informatica powercenter,information management,data warehousing,business intelligence,splunk,python,power bi,relational sql",naukri
Data Engineer: Data Platforms-AWS,Data Science,,Pune,2-6 Yrs,Full-time,,"scala,pyspark,spark,devops,hadoop,hive,glue,redhat linux",naukri
Deputy Manager - Data engineering,Data Science,,Ahmedabad,4-9 Yrs,Full-time,,"Data Engineering,Data Analytics,Python,Data Validation,Business Intelligence,Azure Cloud,Data Warehousing,ETL",naukri
Azure Data Engineer,Data Science,,"Pune, Bangalore Rural, Gurgaon",4-7 Yrs,Full-time,,"Pyspark,Azure Databricks,Python,SQL,Azure Data Factory,Azure Data Lake,Data Bricks,Microsoft Azure",naukri
Software Engineer - Data Streaming (Java),Data Science,,Bengaluru,2-4 Yrs,Full-time,,"Due diligence,NoSQL,Financial inclusion,Analytical,data governance,Apache,Financial services,Python",naukri
Data Engineer (Azure),Data Science,,"Chennai, Trivandrum, Bengaluru, Hyderabad",3-7 Yrs,Full-time,,"Automation,Data modeling,Powershell,Analytical,Machine learning,Data quality,Analytics,SQL",naukri
Aws Data Engineer,Data Science,,"Pune, Bengaluru, Noida",4-9 Yrs,Full-time,,"Pyspark,Aws Lambda,Aws Glue,Python,SQL,Data Engineering,Amazon Redshift,Data Pipeline",naukri
Data Engineer,Data Science,27000.0,"Hybrid - Pune, Bengaluru, Hyderabad",3-8 Yrs,Full-time,,"Data Build tool,Snowflake,Data Modeling,Python,SQL,Azure,Shell Scripting,Scripting",naukri
AWS Data Engineer / AWS Developer (Lambda/Glue/Redshift),Data Science,,"Chennai, Bengaluru",3-8 Yrs,Full-time,,"AWS Services,AWS Data Engineer,Aws Lambda,Amazon Redshift,AWS Developer,S3,Api Gateway,EMR",naukri
Data Engineer,Data Science,,Pune,6-10 Yrs,Full-time,,"Data Engineering,Pyspark,Git,Glue,Data Warehousing,ETL,AWS,Athena",naukri
Azure Data Engineer,Data Science,,Chennai,3-6 Yrs,Full-time,,"Performance tuning,Data modeling,Coding,Technical design,Database maintenance,data visualization,Project delivery,Cosmos",naukri
Data Engineer,Data Science,,Bengaluru,2-3 Yrs,Full-time,,"GCP,Analytical,Cloud,Management,Business intelligence,Troubleshooting,AWS,SQL",naukri
Data Engineer,Data Science,,Bengaluru,2-4 Yrs,Full-time,,"Automation,Data modeling,MySQL,Agile,Stored procedures,Apache,Troubleshooting,Open source",naukri
Hiring a Cloud Big Data Engineer || Pune/Mumbai/Chennai/Bangalore,Data Science,15600.0,"Chennai, Pune, Bengaluru",5-10 Yrs,Full-time,,"GCP,PySpark,Big Data,Spark,Python,Hive,Scala,Django",naukri
Data Engineer,Data Science,,"Bengaluru, Hyderabad",7-12 Yrs,Full-time,,"GCP,Python,SQL,Data Engineering,Data",naukri
Data Quality Engineer,Data Science,,Bengaluru,5-7 Yrs,Full-time,,"Data Quality,Cloud,Java,python,UI,Testing Frameworks,API,SQL",naukri
Data Engineer ( Informatica BDM ),Data Science,,Bengaluru,2-5 Yrs,Full-time,,"IT services,Telecom,Lead Software,Data management,Data modeling,Informatica,Oracle,SyBase",naukri
AWS Data Engineer,Data Science,,Bengaluru,3-5 Yrs,Full-time,,"SQL queries,Data analysis,data services,Cloud,Dms,AWS,Python,Data architecture",naukri
Data Analytics Engineer Job,Data Science,,Bengaluru,2-5 Yrs,Full-time,,"Cloud computing,Data management,MySQL,Scheduling,data visualization,Oracle,Apache,Catering",naukri
AWS Glue Data Engineer with Snowflake,Data Science,,Remote,5-10 Yrs,Full-time,,"Snowflake,Data Pipeline Architecture,Aws Glue,Pipeline,AWS,Data Engineering,Architecture,Glue",naukri
Data Platform Engineer,Data Science,,Chennai,3-8 Yrs,Full-time,,"data analytics,blueprint,data bricks,data modeling,data integration,hive,python,project management",naukri
Data Platform Engineer,Data Science,,Pune,3-8 Yrs,Full-time,,"data analytics,machine learning,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Hyderabad,3-8 Yrs,Full-time,,"data analytics,machine learning,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Pune,3-8 Yrs,Full-time,,"data security,data engineering,tableau,data modeling,spark,hive,python,scala",naukri
Data Platform Engineer,Data Science,,Pune,3-8 Yrs,Full-time,,"power bi,data engineering,database management,hadoop,data integration,hive,python,scala",naukri
Data Engineer: Business Intelligence,Data Science,,Pune,2-5 Yrs,Full-time,,"advance sql,sql,troubleshooting,debugging,database queries,snowflake,python,data analysis",naukri
Data Engineer: Master Data Management,Data Science,,Hyderabad,6-10 Yrs,Full-time,,"continuous integration,regression testing,ci/cd,java,mdm,ibm infosphere,oracle,software testing",naukri
Data Platform Engineer,Data Science,,Indore,5-10 Yrs,Full-time,,"machine learning,business intelligence,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Engr III Spec-Data Engineering,Data Science,,Hyderabad,4-7 Yrs,Full-time,,"Data Engineering,agile development methodology,sap,data modeling,sap bw,Qlik,Tableau,warehouse",naukri
Capgemini || Azure Data Engineer || Gurgaon,Data Science,,Hybrid - Gurgaon,5-10 Yrs,Full-time,,"Data Engineering,Azure Data Factory,Pyspark,Spark,Factory,Engineering,Microsoft Azure,Data",naukri
Data Engineer II - People Data Platform,Data Science,,Gurgaon,3-6 Yrs,Full-time,,"Data validation,Database design,Debugging,Data structures,Operations,Analytics,SQL,Python",naukri
Data Platform Engineer,Data Science,,Gurgaon,5-10 Yrs,Full-time,,"data analytics,data bricks,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Pune,2-7 Yrs,Full-time,,"data analytics,machine learning,data bricks,data modeling,data governance,hive,visualforce,python",naukri
Data Platform Engineer,Data Science,,Ahmedabad,5-10 Yrs,Full-time,,"google,data engineering,cloud platform,data modeling,platform architecture,python,data services,confluent",naukri
Data Engineer,Data Science,,Hyderabad,5-10 Yrs,Full-time,,"amazon redshift,Shell scripting,big data,AWS,SQL,Python,microservices,Data Engineering",naukri
Data Engineer: Data Platforms-Google,Data Science,,Hyderabad,2-5 Yrs,Full-time,,"sql,gen,bigquery,cloud sql,python,hive,java,postgresql",naukri
Data Engineer: Data Platforms-Google,Data Science,,Gurgaon,2-5 Yrs,Full-time,,"sql,gen,bigquery,cloud sql,python,hive,java,postgresql",naukri
Data Platform Engineer,Data Science,,Chennai,5-10 Yrs,Full-time,,"data analytics,machine learning,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Chennai,7-10 Yrs,Full-time,,"data analytics,data security,microsoft azure,data bricks,aws,hive,amazon redshift,data warehousing",naukri
Data Platform Engineer,Data Science,,Pune,7-12 Yrs,Full-time,,"data analytics,data security,database design,data modeling,design principles,hive,python,microsoft azure",naukri
Data Platform Engineer,Data Science,,Mumbai,5-8 Yrs,Full-time,,"google,data engineering,cloud platform,data modeling,platform architecture,python,data services,confluent",naukri
Data Platform Engineer,Data Science,,Pune,3-5 Yrs,Full-time,,"data analytics,data bricks,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Sales Excellence - COE - Data Engineering Specialist,Data Science,,Mumbai,2-6 Yrs,Full-time,,"advance sql,cloud technologies,advanced excel,data flow,sql joins,hive,project management,python",naukri
Data Engineer: Business Intelligence,Data Science,,Pune,2-5 Yrs,Full-time,,"advance sql,software testing,root cause analysis,sql,database queries,snowflake,python,data analysis",naukri
Data Engineer,Data Science,,Hyderabad,2-5 Yrs,Full-time,,"Analytical skills,RCA,Ticketing,Debugging,Issue resolution,Performance optimization,Pentaho,SLAS",naukri
Data Engineer,Data Science,,"Hybrid - Pune, Delhi NCR, Mumbai (All Areas)",4-9 Yrs,Full-time,,"C#,ADF,ASP.NET Core,azure,CI/CD pipelines,Azure Functions,Azure DevOp,Entity Framework",naukri
Data Platform Engineer,Data Science,,Kolkata,5-10 Yrs,Full-time,,"data analytics,pyspark,machine learning algorithms,statistics,data munging,python,data analysis,power bi",naukri
Data Platform Engineer,Data Science,,Ahmedabad,3-8 Yrs,Full-time,,"data analytics,data bricks,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Indore,5-10 Yrs,Full-time,,"spark,data visualization,machine learning algorithms,statistics,data munging,python,data analysis,natural language processing",naukri
Data Platform Engineer,Data Science,,Hyderabad,3-8 Yrs,Full-time,,"cloud services,sql,bigquery,informatica,data integration,python,project management,data analysis",naukri
"Software Engineer III- Java/Python, AWS, Data Bricks",Data Science,,Hyderabad,3-8 Yrs,Full-time,,"System architecture,Automation,Front end,Coding,Machine learning,Agile,Troubleshooting,Financial services",naukri
Urgent Hiring Data Engineer,Data Science,24000.0,Pune,5-7 Yrs,Full-time,,"Airflow,Data Engineering,Cloud,Big Data,Azure Data Lake,Engineering,Azure Data Factory,Hiring",naukri
Data Engineering / Science / Analytics // BBSR (Odisha) // 3 - 12 Yrs.,Data Science,,Odisha,4-9 Yrs,Full-time,,"ab initio,data validation,scala,bi,pyspark,data warehousing,azure data factory,sql",naukri
Data Engineer,Data Science,15000.0,"Hybrid - Bengaluru, Hyderabad",5-10 Yrs,Full-time,,"Java,Snowflake,ETL,Python,Airflow,Data Engineering,SQL,Engineering",naukri
Big Data Engineer,Data Science,,"Hybrid - Bhubaneshwar, Bengaluru, Hyderabad",6-11 Yrs,Full-time,,"python,spark,SCALA,Big data,DEVOPS,ETL,AWS,Data",naukri
Azure Data Engineer - Azure Data Factory and Databricks,Data Science,,Bengaluru,5-10 Yrs,Full-time,,"Pyspark,ADF,Azure Databricks,Azure Data Factory,Data Lake,Data Bricks,SQL,Azure Synapse",naukri
Data Engineer - SnowFlake Job,Data Science,,Bengaluru,6-10 Yrs,Full-time,,"metadata,Business transformation,Access management,data security,Data modeling,Information security,Agile,Manager Technology",naukri
Data Engineering,Data Science,,Bengaluru,3-5 Yrs,Full-time,,"Computer science,Data analysis,Business consulting,CGI,Data modeling,Machine learning,Agile,Data quality",naukri
Data Platform Engineer,Data Science,,"Mumbai, Bengaluru, Gurgaon",2-5 Yrs,Full-time,,"Computer science,Cloud computing,Automation,Data migration,RDBMS,Postgresql,MySQL,Monitoring",naukri
Azure Data Engineer,Data Science,,Bengaluru,4-9 Yrs,Full-time,,"Azure Data Factory,Pyspark,Azure Databricks,Azure Data Lake,Python,SQL,Factory,Data Lake",naukri
Data Engineer - MySQL & MongoDB,Data Science,,Bengaluru,2-5 Yrs,Full-time,,"Cloud computing,Data management,MySQL,Programming,MongoDB,Data analytics,bash scripting,Python",naukri
Data Engineer,Data Science,,Bengaluru,3-5 Yrs,Full-time,,"Windows OS,Linux,big data,Analytics,client reporting,Python,Quantitative analysis,CFA",naukri
Data Engineer,Data Science,,Bengaluru,5-8 Yrs,Full-time,,"Supply chain,Cloud computing,ERP,SAP,Data modeling,data security,Engineering Manager,Information technology",naukri
GCP Data Engineers with Java Programming skills,Data Science,,Bengaluru,3-7 Yrs,Full-time,,"UI development,Production support,CGI,Debugging,Agile,Unit testing,Apache,JIRA",naukri
"Principal Data Engineer (Data Pipeline, Python, AWS)",Data Science,,"Hybrid - Mumbai, Bengaluru, Gurgaon",8-12 Yrs,Full-time,,"Amazon Ec2,EMR,AWS,Python,dbt core,Data Pipeline,Data Lake,airbyte",naukri
Data Warehouse Engineer,Data Science,,Bengaluru,1-4 Yrs,Full-time,,"Data modeling,Analytical,Flex,data governance,Financial services,SQL,Python,Recruitment",naukri
Software Engineer - Data Bricks Job,Data Science,,Bengaluru,3-4 Yrs,Full-time,,"Business transformation,Coding,Analytical,Postgresql,Agile,DBMS,Customer service,Oracle",naukri
Azure Data Engineer,Data Science,,Bengaluru,4-8 Yrs,Full-time,,"Compliance,SQL database,Data modeling,data security,Programming,Troubleshooting,Cosmos,SQL",naukri
Data Engineer- Data sourcing & Solutions,Data Science,,Bengaluru,1-4 Yrs,Full-time,,"Data management,MIS,Analytical,Agile,Actuarial,Data quality,Business strategy,Information technology",naukri
Azure Data Engineer,Data Science,,Bengaluru,4-6 Yrs,Full-time,,"Computer science,Performance tuning,MS SQL,RDBMS,MySQL,Debugging,Agile,Information technology",naukri
Data engineers,Data Science,,Bengaluru,2-4 Yrs,Full-time,,"Data engineers,Data,Data Engineering",naukri
Data Engineer,Data Science,,Bengaluru,4-6 Yrs,Full-time,,"GIS,Image processing,MySQL,Debugging,Machine learning,Oracle,Principal,SDLC",naukri
Azure Data Engineer,Data Science,,Bengaluru,8-11 Yrs,Full-time,,"remediation,SAS,Scalability,Delta,Programming,SQL,Azure Data Factory,Microsoft Azure",naukri
Azure Data Engineer,Data Science,,Hybrid - Bhubaneshwar,5-10 Yrs,Full-time,,"Azure,Development,develop,Azure Data Factory,Data,Microsoft Azure",naukri
"Data Engineer (Data Pipeline, Python, AWS)",Data Science,,"Hybrid - Mumbai, Bengaluru, Gurgaon",3-6 Yrs,Full-time,,"Data Pipeline,AWS,Python,dbt core,Data Lake,airbyte,Core,Data",naukri
Data Engineer - ADF | ETL | SAP ECC | SQL DW,Data Science,39000.0,"Delhi NCR, Bengaluru, Noida",10-15 Yrs,Full-time,,"Etl Pipelines,Azure Data Factory,SAP ECC,Etl Development,Azure Synapse,Azure Data Warehouse,Azure Data Lake,Azure Databricks",naukri
GCP Data Engineer,Data Science,,"Pune, Bengaluru, Noida",6-10 Yrs,Full-time,,"Python,Bigquery,GCP BigQuerry,Gcp Cloud,GCP,Cloud,Data",naukri
Principal Engineer - Data Science and Engineering,Data Science,,Bengaluru,10-20 Yrs,Full-time,,"Data analysis,data science,Project management,Cloud,German language,Operations,Automotive,Python",naukri
Data Analyst,Data Science,,Port Blair,2-5 Yrs,Full-time,,"data analysis,data mining,data integrity,dashboards,data cleansing,metadata,python,data management",naukri
AWS Data Engineer,Data Science,,"Chennai, Pune, Delhi, Mumbai, Bengaluru, Hyderabad, Kolkata",3-6 Yrs,Full-time,,"orchestration,Management audit,Access management,Workflow,JSON,Key management,Apache,Monitoring",naukri
Assistant/ Deputy Manager -Data Engineer,Data Science,,"Bengaluru, Gurgaon",3-7 Yrs,Full-time,,"Mining,Data analysis,Analytical,MySQL,Machine learning,SCALA,Data processing,Data quality",naukri
Deputy Manager/Manager - Data Engineer,Data Science,,"Bengaluru, Gurgaon",3-9 Yrs,Full-time,,"Data modeling,RDBMS,Enterprise applications,Cognos,MySQL,Oracle,Business intelligence,Troubleshooting",naukri
MBOS - Data Engineer Visualization,Data Science,,Bengaluru,2-6 Yrs,Full-time,,"Fabrication,Delmia,Coding,Project management,Production engineering,Manufacturing engineering,PPAP,MS Office",naukri
Business Analyst - Billing Analyst,Data Science,,Bengaluru,0-5 Yrs,Full-time,,"Billing Analyst,Purchase,Senior Analyst,Diversity and Inclusion,Billing,Reconciliation,Data collection,Financial operations",naukri
Business Analyst,Data Science,,Bengaluru,0-5 Yrs,Full-time,,"Computer science,Solution management,Purchase,Business Analyst,SAS,Process improvement,Diversity and Inclusion,Marketing campaigns",naukri
Test Lead - Data,Data Science,,Dehradun,6-9 Yrs,Full-time,,"continuous integration,Reconciliation,Schema,Test planning,power bi,Data quality,data visualization,Troubleshooting",naukri
Microsoft Azure Data Services-Application Lead,Data Science,,Hyderabad,8-12 Yrs,Full-time,,"data services,cloud migration,microsoft azure,project delivery management,communication skills,project management,screening,sourcing",naukri
Microsoft Azure Modern Data Platform-Application Lead,Data Science,,Pune,5-10 Yrs,Full-time,,"microsoft azure,sql azure,terraform,data visualization,scripting languages,azure databricks,continuous integration,python",naukri
Big Data Lead,Data Science,,Hyderabad,6-10 Yrs,Full-time,,"hive,cloudera,scala,big data technologies,data warehousing,apache pig,sql,streaming",naukri
Big Data Lead,Data Science,,Pune,6-10 Yrs,Full-time,,"hive,cloudera,scala,big data technologies,data warehousing,apache pig,sql,streaming",naukri
Sr Cloud Data Architect,Data Science,,Pune,11-15 Yrs,Full-time,,"Operational excellence,Architecture,GCP,Analytical,Machine learning,Cloud,Data processing,Data quality",naukri
Data Science Senior Manager,Data Science,,Bengaluru,12-15 Yrs,Full-time,,"python,modeling,eda,natural language processing,scikit-learn,neural networks,recognition,pyspark",naukri
DATA ANALYST REQUIRED For OUR MNC CLIENT IMMEDIATELY:-,Data Science,,Chennai,3-5 Yrs,Full-time,,"deep learning,Data analysis,data science,Coding,Analytical,Machine learning,Data Analyst,Automotive",naukri
Senior Manager - Data Science,Data Science,,Bengaluru,10-12 Yrs,Full-time,,"Product management,Loans,NoSQL,data science,GCP,Machine learning,Data processing,Financial services",naukri
"Intermediate Representative, Data Management & Quantitative Analysis",Data Science,,Pune,4-6 Yrs,Full-time,,"Fund accounting,Assurance,Data management,Bloomberg,Fixed income,Representative,Capital market,MS Office",naukri
Data Analyst,Data Science,15000.0,Bangalore Rural,2-4 Yrs,Full-time,,"Data Analyst,Power Bi,PostgreSQL,Data Analysis,Tableau,powerbi,Analysis,Data",naukri
Data Analyst( Monetization + Revenue) - Bangalore,Data Science,21000.0,Bengaluru,4-5 Yrs,Full-time,,"sql,analytics,Monetization,tableau,ab testing,hypothesis testing,consumer behaviour,Marketing Analytics",naukri
Data Analyst,Data Science,4800.0,"Pune, Delhi NCR, Bengaluru",1-2 Yrs,Full-time,,"Power Bi,Python,SQL,R,Data Analysis,Tableau,Data Analytics,Analytics",naukri
Data Analyst,Data Science,,"Chennai, Pune, Madurai",2-5 Yrs,Full-time,,"Data analyst,data analysis,sas,data mining,strategic management,data collection,javascript,sql",naukri
Data Analyst,Data Science,,Jaipur,2-4 Yrs,Full-time,,"Analytical,Data Analyst,Monitoring,Marketing,Data analysis,Data,Analytics",naukri
Data Analyst,Data Science,7800.0,"Mumbai Suburbs, Mumbai",4-7 Yrs,Full-time,,"Data Analysis,MIS Reporting,Power BI,Data Management And Analysis,Advanced Excel,Tableau,Excel,Data management",naukri
Data Analyst,Data Science,,Hybrid - Bengaluru,2-5 Yrs,Full-time,,"SQL,Python,Power Bi,Problem Solving,Tableau,Bi,Data analysis,Data",naukri
Data Analyst,Data Science,,"Mumbai, Udupi, Bengaluru",5-10 Yrs,Full-time,,"Google Analytics,Data management,Bfsi,Mutual funds,Analytical,Data quality,data integrity,Business strategy",naukri
Workday Data Analyst,Data Science,,Bengaluru,2-6 Yrs,Full-time,,"Data analysis,Payroll,Excel,Data management,Analytical,Agile,Autodesk,Customer service",naukri
Data Analyst,Data Science,,Hybrid - Bengaluru,1-4 Yrs,Full-time,,"Machine learning,Regression,Predicitve modelling,Python,Data analysis,Machine,Modeling,Data",naukri
